NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,FECHA
25,394,L,V,E,V,L,E,E,V,L,18/05/2018
25,393,L,L,V,L,E,L,L,V,E,11/05/2018
25,392,L,E,E,L,L,L,V,V,L,04/05/2018
25,391,V,L,V,E,L,V,E,L,E,27/04/2018
25,390,V,V,E,V,L,L,V,L,V,19/04/2018
25,389,L,E,E,V,L,E,L,L,L,12/04/2018
25,388,L,L,V,V,L,L,E,E,E,05/04/2018
25,387,V,L,V,L,V,E,V,L,L,28/03/2018
25,386,L,V,V,V,V,E,V,V,L,23/03/2018
25,385,L,V,V,L,V,V,E,L,V,15/03/2018
25,384,E,V,V,V,V,E,L,L,L,08/03/2018
25,383,V,L,E,L,E,L,E,E,V,01/03/2018
25,382,E,E,L,V,V,L,E,V,L,22/02/2018
25,381,E,L,E,E,L,E,V,L,V,15/02/2018
25,380,L,L,L,V,V,L,L,L,V,08/02/2018
25,379,L,E,L,E,E,L,L,L,E,01/02/2018
25,378,E,L,L,V,L,L,L,V,E,25/01/2018
25,377,L,V,V,V,L,L,V,L,L,18/01/2018
25,376,V,L,V,L,V,L,V,E,V,11/01/2018
25,375,V,L,E,E,V,E,E,L,V,04/01/2018
25,374,E,E,E,L,V,L,L,E,L,28/12/2017
25,373,L,L,V,E,L,L,V,V,E,22/12/2017
25,372,L,E,V,L,L,V,V,E,L,14/12/2017
25,371,E,L,V,E,L,L,E,V,L,08/12/2017
25,370,V,V,V,E,E,L,V,V,L,01/12/2017
25,369,V,V,E,L,E,V,L,L,V,23/11/2017
25,368,E,E,L,E,L,E,V,L,L,16/11/2017
25,367,L,L,V,V,V,V,L,E,V,10/11/2017
25,366,V,L,L,E,V,L,L,E,V,02/11/2017
25,365,E,L,L,L,L,V,V,V,V,26/10/2017
25,364,V,V,L,V,L,E,L,L,V,19/10/2017
25,363,L,L,L,L,L,V,E,L,V,12/10/2017
25,362,L,L,E,V,E,E,E,L,V,06/10/2017
25,361,V,V,V,L,V,L,L,L,L,28/09/2017
25,360,E,L,E,L,V,L,V,V,V,22/09/2017
25,359,L,V,E,E,E,L,L,L,E,14/09/2017
25,358,E,L,V,L,L,E,V,E,V,06/09/2017
25,357,L,V,L,L,L,L,L,V,E,01/09/2017
25,356,L,E,V,V,E,V,E,L,E,24/08/2017
25,355,E,V,L,L,L,L,V,V,E,17/08/2017
25,354,E,V,E,E,V,L,L,L,V,11/08/2017
25,353,E,V,L,L,V,E,E,V,L,03/08/2017
25,352,V,L,L,V,V,L,V,L,E,27/07/2017
25,351,E,V,E,E,L,E,L,E,E,21/07/2017
25,350,E,E,L,E,E,V,V,V,V,14/07/2017
25,349,L,V,V,V,E,V,V,L,L,07/07/2017
25,348,L,L,V,L,L,L,E,L,L,30/06/2017
25,347,V,L,E,V,L,L,L,L,E,22/06/2017
25,346,E,L,V,L,L,E,L,E,V,16/06/2017
25,345,L,E,E,L,E,E,V,E,L,09/06/2017
25,344,L,V,L,E,V,V,L,E,E,02/06/2017
25,343,E,V,E,L,V,V,E,L,L,26/05/2017
25,342,E,L,E,V,V,E,L,V,E,19/05/2017
25,341,V,L,L,L,L,E,V,V,V,12/05/2017
25,340,L,V,L,V,V,L,L,L,E,05/05/2017
25,339,L,E,V,L,L,V,L,E,E,27/04/2017
